📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2014;Giro;mercredi 28 mai 2014;17;Sarnonico;Vittorio Veneto;208;Plat;Stefano Pirazzi;Nairo Quintana;Long format;Bein;Rare;Grand Tour;;5
2014;Giro;jeudi 29 mai 2014;18;Belluno;Rifugio Panarotta;171;Montagne;Julián Arredondo;Nairo Quintana;Long format;Bein;Rare;Grand Tour;;6
2014;Giro;vendredi 30 mai 2014;19;Bassano del Grappa;Cima Grappa;26,8;Chrono individuel;Nairo Quintana;Nairo Quintana;Long format;Bein;Rare;Grand Tour;;5
2014;Giro;samedi 31 mai 2014;20;Maniago;Monte Zoncolan;167;Montagne;Michael Rogers;Nairo Quintana;Long format;Bein;Rare;Grand Tour;;6
2014;Giro;dimanche 1 juin 2014;21;Gemona del Friuli;Trieste;172;Plat;Luka Mezgec;Nairo Quintana;Long format;Bein;Rare;Grand Tour;;5
2014;Dauphiné Libéré;lundi 9 juin 2014;2;Tarare;Col du Béal (Pays d'Olliergues);156;Montagne;Chris Froome;Chris Froome;Long format;France TV;Peu courant;Autre;;4
2014;Dauphiné Libéré;mardi 10 juin 2014;3;Ambert;Le Teil;194;Plat;Nikias Arndt;Chris Froome;Long format;France TV;Peu courant;Autre;;4
2014;Dauphiné Libéré;mercredi 11 juin 2014;4;Montélimar;Gap;167,5;Accidentée;Yuri Trofimov;Chris Froome;Long format;France TV;Peu courant;Autre;;4
2014;Dauphiné Libéré;jeudi 12 juin 2014;5;Sisteron;La Mure;189,5;Accidentée;Simon Špilak;Chris Froome;Long format;France TV;Peu courant;Autre;;4
2014;Dauphiné Libéré;vendredi 13 juin 2014;6;Grenoble;Poisy;178,5;Plat;Jan Bakelants;Chris Froome;Long format;France TV;Peu courant;Autre;;4
2014;Dauphiné Libéré;dimanche 15 juin 2014;8;Megève;Courchevel-Le Praz;131,5;Accidentée;Mikel Nieve;Andrew Talansky;Long format;France TV;Peu courant;Autre;;4
2014;Tour de France;samedi 5 juillet 2014;1;Leeds;Harrogate;190,5;Plat;Marcel Kittel;Marcel Kittel;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;dimanche 6 juillet 2014;2;York;Sheffield;201;Accidentée;Vincenzo Nibali;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;lundi 7 juillet 2014;3;Cambridge;Londres;155;Plat;Marcel Kittel;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;mardi 8 juillet 2014;4;Le Touquet-Paris-Plage;Lille;163,5;Plat;Marcel Kittel;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;mercredi 9 juillet 2014;5;Ypres;Arenberg;152,5;Plat;Lars Boom;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;jeudi 10 juillet 2014;6;Arras;Reims;194;Plat;André Greipel;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;vendredi 11 juillet 2014;7;Epernay;Nancy;234,5;Plat;Matteo Trentin;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;samedi 12 juillet 2014;8;Tomblaine;Gérardmer;161;Accidentée;Blel Kadri;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;dimanche 13 juillet 2014;9;Gérardmer;Mulhouse;170;Accidentée;Tony Martin;Tony Gallopin;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;lundi 14 juillet 2014;10;Mulhouse;La Planche des Belles Filles;161,5;Montagne;Vincenzo Nibali;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;mercredi 16 juillet 2014;11;Besançon;Oyonnax;187,5;Accidentée;Tony Gallopin;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;jeudi 17 juillet 2014;12;Bourg-en-Bresse;Saint-Etienne;185,5;Plat;Alexander Kristoff;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;vendredi 18 juillet 2014;13;Saint-Etienne;Chamrousse;197,5;Montagne;Vincenzo Nibali;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;samedi 19 juillet 2014;14;Grenoble;Risoul;177;Montagne;Rafał Majka;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;dimanche 20 juillet 2014;15;Tallard;Nîmes;222;Plat;Alexander Kristoff;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;mardi 22 juillet 2014;16;Carcassonne;Luchon;237,5;Montagne;Michael Rogers;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;mercredi 23 juillet 2014;17;Saint-Gaudens;Saint-Lary-Soulan - Pla d'Adet;124,5;Montagne;Rafał Majka;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;jeudi 24 juillet 2014;18;Pau;Lourdes-Hautacam;145,5;Montagne;Vincenzo Nibali;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;6
2014;Tour de France;vendredi 25 juillet 2014;29;Maubourguet;Bergerac;208,5;Plat;Ramūnas Navardauskas;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
