📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2017;Milan-San Remo;18-mars-17;;Milano;Sanremo;291;Classique;Michał Kwiatkowski;;Long format;L'Equipe TV;Très rare;Classique ou Semi-classique;;6,5
2017;Tour des Flandres;02-avr-17;;Antwerp;Oudenaarde;260,8;Classique;Philippe Gilbert;;Long format;France TV;Très rare;Classique ou Semi-classique;;6,5
2017;Paris-Roubaix;09-avr-17;;Compiègne;Roubaix;257;Classique;Greg Van Avermaet;;Intégralité;France TV;Peu courant;Classique ou Semi-classique;;5,5
2017;Amstel Gold Race;16-avr-17;;Maastricht;Berg en Terblijt;261;Classique;Philippe Gilbert;;Long format;France 3;Très rare;Classique ou Semi-classique;;6
2017;Giro;05-mai-17;1;Alghero;Olbia;206;Accidentée;Lukas Pöstlberger;Lukas Pöstlberger;Intégralité;L'Equipe TV;Peu courant;Grand Tour;;6
2017;Giro;06-mai-17;2;Olbia;Tortolì;221;Accidentée;André Greipel;André Greipel;Intégralité;L'Equipe TV;Peu courant;Grand Tour;;6
2017;Giro;07-mai-17;3;Tortolì;Cagliari;148;Plat;Fernando Gaviria;Fernando Gaviria;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;09-mai-17;4;Cefalù;Etna;181;Montagne;Jan Polanc;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;10-mai-17;5;Pedara;Messine;159;Plat;Fernando Gaviria;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;11-mai-17;6;Reggio de Calabre;Terme Luigiane;217;Accidentée;Silvan Dillier;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;12-mai-17;7;Castrovillari;Alberobello;224;Plat;Caleb Ewan;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;13-mai-17;8;Molfetta;Peschici;189;Accidentée;Gorka Izagirre;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;14-mai-17;9;Montenero di Bisaccia;Blockhaus;149;Montagne;Nairo Quintana;Nairo Quintana;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;16-mai-17;10;Foligno;Montefalco;40;Chrono individuel;Tom Dumoulin;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;17-mai-17;11;Florence;Bagno di Romagna;161;Accidentée;Omar Fraile;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;18-mai-17;13;Reggio d'Émilie;Tortone;167;Plat;Fernando Gaviria;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;19-mai-17;14;Castellania Coppi;Santuario di Oropa;131;Montagne;Tom Dumoulin;Tom Dumoulin;Intégralité;L'Equipe TV;Peu courant;Grand Tour;;6
2017;Giro;20-mai-17;15;Valdengo;Bergame;199;Accidentée;Bob Jungels;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;21-mai-17;16;Rovetta;Bormio;222;Montagne;Vincenzo Nibali;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;23-mai-17;17;Tirano –;Canazei;219;Accidentée;Pierre Rolland;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;24-mai-17;18;Moena;Ortisei/St. Ulrich;137;Montagne;Tejay van Garderen;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;25-mai-17;19;San Candido/Innichen;Piancavallo;191;Montagne;Mikel Landa;Nairo Quintana;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;26-mai-17;20;Pordenone;Asiago;190;Montagne;Thibaut Pinot;Nairo Quintana;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;27-mai-17;21;Monza;Milan;29;Chrono individuel;Jos van Emden;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Giro;28-mai-17;12;Forlì;Reggio d'Émilie;229;Plat;Fernando Gaviria;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2017;Tour de France;01-juil-17;1;Düsseldorf;Düsseldorf;14;Chrono individuel;Geraint Thomas;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;02-juil-17;2;Düsseldorf;Liège;203,5;Plat;Marcel Kittel;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;03-juil-17;3;Verviers;Longwy;212,5;Accidentée;Peter Sagan;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;04-juil-17;4;Mondorf-les-Bains;Vittel;207,5;Plat;Arnaud Démare;Geraint Thomas;Intégralité;France TV;Peu courant;Grand Tour;;6
